,DATE,GDP,Growth
1,01/04/2000,10247.72,0.024548750827194654
2,01/07/2000,10318.165,0.006874212019844617
3,01/10/2000,10435.744,0.011395340159805478
4,01/01/2001,10470.231,0.0033046996936680895
5,01/04/2001,10599.0,0.012298582524110424
6,01/07/2001,10598.02,-9.24615529767081e-05
7,01/10/2001,10660.465,0.005892138342822539
8,01/01/2002,10783.5,0.011541241399882551
9,01/04/2002,10887.46,0.009640654703945817
10,01/07/2002,10984.04,0.008870755897151472
11,01/10/2002,11061.433,0.007045950306080462
12,01/01/2003,11174.129,0.010188191710784666
13,01/04/2003,11312.766,0.012406962547147904
14,01/07/2003,11566.669,0.02244393634589459
15,01/10/2003,11772.234,0.01777218661656188
16,01/01/2004,11923.447,0.012844885686098317
17,01/04/2004,12112.815,0.015881984463050003
18,01/07/2004,12305.307,0.015891599103924348
19,01/10/2004,12527.214,0.018033438743137342
20,01/01/2005,12767.286,0.01916403759048113
21,01/04/2005,12922.656,0.012169383532255829
22,01/07/2005,13142.642,0.01702328066304637
23,01/10/2005,13324.204,0.013814726141060607
24,01/01/2006,13599.16,0.020635829352357637
25,01/04/2006,13753.424,0.011343641813170935
26,01/07/2006,13870.188,0.00848981315489139
27,01/10/2006,14039.56,0.012211225976172635
28,01/01/2007,14215.651,0.012542487086489862
29,01/04/2007,14402.082,0.013114489093746018
30,01/07/2007,14564.117,0.011250803876828419
31,01/10/2007,14715.058,0.010363896417475926
32,01/01/2008,14706.538,-0.0005789987372118999
33,01/04/2008,14865.701,0.010822601485135364
34,01/07/2008,14898.999,0.0022399212791917034
35,01/10/2008,14608.208,-0.019517485704912074
36,01/01/2009,14430.901,-0.012137491470548656
37,01/04/2009,14381.236,-0.0034415730521607513
38,01/07/2009,14448.882,0.004703768160121857
39,01/10/2009,14651.248,0.014005651094666005
40,01/01/2010,14764.611,0.007737429603266621
41,01/04/2010,14980.193,0.01460126514677551
42,01/07/2010,15141.605,0.010775028065392878
43,01/10/2010,15309.471,0.011086407286413857
44,01/01/2011,15351.444,0.00274163620676382
45,01/04/2011,15557.535,0.01342486087953687
46,01/07/2011,15647.681,0.005794362667350672
47,01/10/2011,15842.267,0.01243545289554393
48,01/01/2012,16068.824,0.01430079419820407
49,01/04/2012,16207.13,0.008607101552671192
50,01/07/2012,16319.54,0.0069358362646565475
51,01/10/2012,16420.386,0.006179463391737583
52,01/01/2013,16629.05,0.01270761844453605
53,01/04/2013,16699.551,0.004239628842297005
54,01/07/2013,16911.068,0.012666029164496662
55,01/10/2013,17133.114,0.013130217441027492
56,01/01/2014,17144.281,0.0006517787717981172
57,01/04/2014,17462.703,0.01857307401809405
58,01/07/2014,17743.227,0.016064179754989638
59,01/10/2014,17852.54,0.006160829707020143
60,01/01/2015,17991.348,0.007775252148993994
61,01/04/2015,18193.707,0.011247573000088495
62,01/07/2015,18306.96,0.006224844667444662
63,01/10/2015,18332.079,0.0013721011025316088
64,01/01/2016,18425.306,0.005085457028632723
65,01/04/2016,18611.617,0.010111690953734875
66,01/07/2016,18775.459,0.00880321145658658
67,01/10/2016,18968.041,0.010257112755539088
68,01/01/2017,19148.194,0.009497712494400457
69,01/04/2017,19304.506,0.008163276390452445
70,01/07/2017,19561.896,0.013333156517965294
71,01/10/2017,19894.75,0.017015426316549176
72,01/01/2018,20155.486,0.013105769109941212
73,01/04/2018,20470.197,0.015614160829463541
74,01/07/2018,20687.278,0.01060473428760833
75,01/10/2018,20819.269,0.006380298074981194
76,01/01/2019,21013.085,0.0093094526998041
77,01/04/2019,21272.448,0.012342928227816241
78,01/07/2019,21531.839,0.012193754099199205
79,01/10/2019,21706.532,0.00811324104736233
80,01/01/2020,21538.032,-0.007762640296478551
81,01/04/2020,19636.731,-0.0882764497703411
82,01/07/2020,21362.428,0.08788107348417618
83,01/10/2020,21704.706,0.016022429660148996
84,01/01/2021,22313.85,0.028065065705105585
85,01/04/2021,23046.934,0.032853317558377615
86,01/07/2021,23550.42,0.021846116277332017
87,01/10/2021,24349.121,0.03391451192802508
88,01/01/2022,24740.48,0.016072818398660038
89,01/04/2022,25248.476,0.020532988850660905
90,01/07/2022,25723.941,0.01883143362791473
91,01/10/2022,26137.992,0.016095939576288076
92,01/01/2023,26529.774,0.014988986147061345
93,01/04/2023,26798.605,0.010133180930979702
