,date,Household Net Worth,Household Assets,Household Liabilities,year
0,2023 Jan,148835347,168453826,-19618480,2023
1,2022 Oct,145809853,165405347,-19595493,2022
2,2022 Jul,144190918,163565301,-19374383,2022
3,2022 Apr,147200382,166247026,-19046644,2022
4,2022 Jan,152593762,171276669,-18682907,2022
5,2021 Oct,150409798,168888920,-18479122,2021
6,2021 Jul,146015476,164091060,-18075584,2021
7,2021 Apr,142687698,160398550,-17710852,2021
8,2021 Jan,136391996,153747716,-17355720,2021
9,2020 Oct,131376375,148554352,-17177976,2020
10,2020 Jul,122993823,139909214,-16915391,2020
11,2020 Apr,118762553,135426126,-16663573,2020
12,2020 Jan,110913192,127576154,-16662962,2020
13,2019 Oct,116756644,133361430,-16604786,2019
14,2019 Jul,113244584,129655839,-16411255,2019
15,2019 Apr,112603008,128812539,-16209531,2019
16,2019 Jan,110411455,126416023,-16004568,2019
17,2018 Oct,104184810,120158437,-15973627,2018
18,2018 Jul,107957919,123801835,-15843916,2018
19,2018 Apr,105970460,121643597,-15673137,2018
20,2018 Jan,104737676,120281375,-15543699,2018
21,2017 Oct,103620208,119112254,-15492047,2017
22,2017 Jul,101055159,116349766,-15294607,2017
23,2017 Apr,99393201,114539220,-15146019,2017
24,2017 Jan,97319904,112309296,-14989392,2017
25,2016 Oct,94892884,109822961,-14930077,2016
26,2016 Jul,94344638,109171419,-14826781,2016
27,2016 Apr,92709634,107360714,-14651080,2016
28,2016 Jan,91115769,105630583,-14514814,2016
29,2015 Oct,89855914,104358360,-14502446,2015
30,2015 Jul,88307690,102796923,-14489233,2015
31,2015 Apr,89332726,103701388,-14368662,2015
32,2015 Jan,88667654,102906353,-14238699,2015
33,2014 Oct,86813140,101071820,-14258680,2014
34,2014 Jul,85186711,99374148,-14187437,2014
35,2014 Apr,84535248,98730496,-14195248,2014
36,2014 Jan,82426263,96549346,-14123083,2014
37,2013 Oct,80684519,94811097,-14126578,2013
38,2013 Jul,78506298,92459443,-13953145,2013
39,2013 Apr,75984961,89882010,-13897049,2013
40,2013 Jan,74861071,88736755,-13875684,2013
41,2012 Oct,72026024,85931220,-13905196,2012
42,2012 Jul,71021025,84955401,-13934376,2012
43,2012 Apr,69101575,83022290,-13920715,2012
44,2012 Jan,69051085,83000830,-13949745,2012
45,2011 Oct,67048901,81056831,-14007930,2011
46,2011 Jul,65622590,79635518,-14012928,2011
47,2011 Apr,67511108,81534812,-14023704,2011
48,2011 Jan,67178377,81251127,-14072750,2011
49,2010 Oct,66015250,80115813,-14100563,2010
50,2010 Jul,64330236,78444348,-14114112,2010
51,2010 Apr,62254030,76439792,-14185762,2010
52,2010 Jan,62821230,77075001,-14253771,2010
53,2009 Oct,61515660,75875274,-14359614,2009
54,2009 Jul,61363269,75730077,-14366808,2009
55,2009 Apr,59612240,73982634,-14370394,2009
56,2009 Jan,59334533,73725859,-14391326,2009
57,2008 Oct,61214253,75700273,-14486020,2008
58,2008 Jul,64267393,79009158,-14741765,2008
59,2008 Apr,66753506,81379133,-14625627,2008
60,2008 Jan,67958278,82627403,-14669125,2008
61,2007 Oct,70058480,84606914,-14548434,2007
62,2007 Jul,70778202,85129814,-14351612,2007
63,2007 Apr,69933161,84043273,-14110112,2007
64,2007 Jan,69302064,83116328,-13814264,2007
65,2006 Oct,68253110,81880598,-13627488,2006
66,2006 Jul,66741848,80102416,-13360568,2006
67,2006 Apr,65590701,78623212,-13032511,2006
68,2006 Jan,65379449,78053375,-12673926,2006
69,2005 Oct,63489208,75802952,-12313744,2005
70,2005 Jul,61983784,73997830,-12014046,2005
71,2005 Apr,60311123,71963762,-11652639,2005
72,2005 Jan,58831139,70148515,-11317376,2005
73,2004 Oct,57904451,69012260,-11107809,2004
74,2004 Jul,55674681,66425595,-10750914,2004
75,2004 Apr,54358814,64828835,-10470022,2004
76,2004 Jan,53590668,63743778,-10153110,2004
77,2003 Oct,51045887,61003695,-9957809,2003
78,2003 Jul,49081033,58779883,-9698850,2003
79,2003 Apr,48209357,57651209,-9441852,2003
80,2003 Jan,46324863,55378718,-9053855,2003
81,2002 Oct,46072867,54937029,-8864162,2002
82,2002 Jul,45101014,53716730,-8615716,2002
83,2002 Apr,46205637,54598114,-8392477,2002
84,2002 Jan,46854415,55056794,-8202378,2002
85,2001 Oct,46161039,54228451,-8067411,2001
86,2001 Jul,44606122,52543964,-7937842,2001
87,2001 Apr,45660912,53344290,-7683378,2001
88,2001 Jan,44432025,51912890,-7480866,2001
