,State,2022:Q3-:Q4
1,Alabama,3.9
2,Alaska,4.1
3,Arizona,3.2
4,Arkansas,3.2
5,California,2.4
6,Colorado,2.7
7,Connecticut,0.1
8,Delaware,2.7
9,District of Columbia,1.6
10,Florida,3.7
11,Georgia,3.4
12,Hawaii,1.2
13,Idaho,3.6
14,Illinois,0.7
15,Indiana,1.4
16,Iowa,-1.2
17,Kansas,0.7
18,Kentucky,2.2
19,Louisiana,2.2
20,Maine,2.3
21,Maryland,0.3
22,Massachusetts,2.9
23,Michigan,0.3
24,Minnesota,1.3
25,Mississippi,1.5
26,Missouri,1.9
27,Montana,1.3
28,Nebraska,-3.4
29,Nevada,5.3
30,New Hampshire,2.5
31,New Jersey,1.1
32,New Mexico,4.8
33,New York,0.0
34,North Carolina,3.2
35,North Dakota,0.7
36,Ohio,0.4
37,Oklahoma,4.3
38,Oregon,5.6
39,Pennsylvania,3.2
40,Rhode Island,0.4
41,South Carolina,1.8
42,South Dakota,-4.3
43,Tennessee,4.3
44,Texas,7.0
45,Utah,4.2
46,Vermont,2.2
47,Virginia,2.1
48,Washington,3.7
49,West Virginia,5.2
50,Wisconsin,1.1
51,Wyoming,4.5
52,New England,2.0
