,variable,value,date
117,16-24,138,2014 Q1
121,16-24,150,2015 Q1
125,16-24,160,2016 Q1
129,16-24,152,2017 Q1
133,16-24,135,2018 Q1
137,16-24,148,2019 Q1
141,16-24,191,2020 Q1
145,16-24,175,2021 Q1
149,16-24,203,2022 Q1
114,16-24,115,2013 Q2
118,16-24,133,2014 Q2
122,16-24,158,2015 Q2
126,16-24,159,2016 Q2
130,16-24,149,2017 Q2
134,16-24,143,2018 Q2
138,16-24,158,2019 Q2
142,16-24,185,2020 Q2
146,16-24,150,2021 Q2
150,16-24,201,2022 Q2
115,16-24,121,2013 Q3
119,16-24,137,2014 Q3
123,16-24,157,2015 Q3
127,16-24,175,2016 Q3
131,16-24,171,2017 Q3
135,16-24,151,2018 Q3
139,16-24,168,2019 Q3
143,16-24,192,2020 Q3
147,16-24,190,2021 Q3
151,16-24,222,2022 Q3
116,16-24,120,2013 Q4
120,16-24,142,2014 Q4
124,16-24,145,2015 Q4
128,16-24,159,2016 Q4
132,16-24,151,2017 Q4
136,16-24,148,2018 Q4
140,16-24,184,2019 Q4
144,16-24,196,2020 Q4
148,16-24,202,2021 Q4
3,25-34,198,2014 Q1
7,25-34,191,2015 Q1
11,25-34,216,2016 Q1
15,25-34,198,2017 Q1
19,25-34,221,2018 Q1
23,25-34,242,2019 Q1
27,25-34,237,2020 Q1
31,25-34,256,2021 Q1
35,25-34,329,2022 Q1
0,25-34,220,2013 Q2
4,25-34,197,2014 Q2
8,25-34,217,2015 Q2
12,25-34,195,2016 Q2
16,25-34,196,2017 Q2
20,25-34,217,2018 Q2
24,25-34,234,2019 Q2
28,25-34,242,2020 Q2
32,25-34,271,2021 Q2
36,25-34,331,2022 Q2
1,25-34,191,2013 Q3
5,25-34,224,2014 Q3
9,25-34,222,2015 Q3
13,25-34,202,2016 Q3
17,25-34,221,2017 Q3
21,25-34,225,2018 Q3
25,25-34,236,2019 Q3
29,25-34,258,2020 Q3
33,25-34,299,2021 Q3
37,25-34,348,2022 Q3
2,25-34,190,2013 Q4
6,25-34,211,2014 Q4
10,25-34,215,2015 Q4
14,25-34,189,2016 Q4
18,25-34,217,2017 Q4
22,25-34,227,2018 Q4
26,25-34,233,2019 Q4
30,25-34,262,2020 Q4
34,25-34,305,2021 Q4
41,35-49,582,2014 Q1
45,35-49,573,2015 Q1
49,35-49,576,2016 Q1
53,35-49,551,2017 Q1
57,35-49,518,2018 Q1
61,35-49,498,2019 Q1
65,35-49,516,2020 Q1
69,35-49,563,2021 Q1
73,35-49,536,2022 Q1
38,35-49,630,2013 Q2
42,35-49,583,2014 Q2
46,35-49,587,2015 Q2
50,35-49,554,2016 Q2
54,35-49,555,2017 Q2
58,35-49,539,2018 Q2
62,35-49,510,2019 Q2
66,35-49,512,2020 Q2
70,35-49,548,2021 Q2
74,35-49,542,2022 Q2
39,35-49,606,2013 Q3
43,35-49,571,2014 Q3
47,35-49,606,2015 Q3
51,35-49,547,2016 Q3
55,35-49,564,2017 Q3
59,35-49,517,2018 Q3
63,35-49,508,2019 Q3
67,35-49,557,2020 Q3
71,35-49,548,2021 Q3
75,35-49,583,2022 Q3
40,35-49,646,2013 Q4
44,35-49,575,2014 Q4
48,35-49,593,2015 Q4
52,35-49,540,2016 Q4
56,35-49,534,2017 Q4
60,35-49,508,2018 Q4
64,35-49,501,2019 Q4
68,35-49,555,2020 Q4
72,35-49,550,2021 Q4
79,50-64,"1,066",2014 Q1
83,50-64,"1,099",2015 Q1
87,50-64,"1,136",2016 Q1
91,50-64,"1,078",2017 Q1
95,50-64,"1,092",2018 Q1
99,50-64,"1,106",2019 Q1
103,50-64,"1,171",2020 Q1
107,50-64,"1,205",2021 Q1
111,50-64,"1,238",2022 Q1
76,50-64,"1,106",2013 Q2
80,50-64,"1,086",2014 Q2
84,50-64,"1,130",2015 Q2
88,50-64,"1,140",2016 Q2
92,50-64,"1,086",2017 Q2
96,50-64,"1,146",2018 Q2
100,50-64,"1,137",2019 Q2
104,50-64,"1,193",2020 Q2
108,50-64,"1,223",2021 Q2
112,50-64,"1,320",2022 Q2
77,50-64,"1,068",2013 Q3
81,50-64,"1,094",2014 Q3
85,50-64,"1,134",2015 Q3
89,50-64,"1,093",2016 Q3
93,50-64,"1,111",2017 Q3
97,50-64,"1,118",2018 Q3
101,50-64,"1,154",2019 Q3
105,50-64,"1,213",2020 Q3
109,50-64,"1,248",2021 Q3
113,50-64,"1,375",2022 Q3
78,50-64,"1,085",2013 Q4
82,50-64,"1,105",2014 Q4
86,50-64,"1,118",2015 Q4
90,50-64,"1,066",2016 Q4
94,50-64,"1,092",2017 Q4
98,50-64,"1,122",2018 Q4
102,50-64,"1,156",2019 Q4
106,50-64,"1,219",2020 Q4
110,50-64,"1,272",2021 Q4
